event_id,worst_threshold_crossed,thresholds_crossed,min_margin_time,pair,open_positions,used_margin,floating_pnl,used_margin_contribution_pct,portfolio_used_margin,portfolio_margin_level
evt_1673625600_1,300.0,300,2023-01-13 16:00:00,EURGBP,2,532.33,-15.3,30.41,1750.79,292.82
evt_1673625600_1,300.0,300,2023-01-13 16:00:00,EURUSD,1,345.69,-14.56,19.74,1750.79,292.82
evt_1673625600_1,300.0,300,2023-01-13 16:00:00,GBPUSD,1,426.15,-5.67,24.34,1750.79,292.82
evt_1673625600_1,300.0,300,2023-01-13 16:00:00,USDCHF,2,446.62,-79.04,25.51,1750.79,292.82
evt_1674036000_2,300.0,300,2023-01-18 10:00:00,EURGBP,2,527.56,-30.24,30.22,1745.64,291.19
evt_1674036000_2,300.0,300,2023-01-18 10:00:00,EURUSD,1,346.75,16.32,19.86,1745.64,291.19
evt_1674036000_2,300.0,300,2023-01-18 10:00:00,GBPUSD,1,431.34,-103.25,24.71,1745.64,291.19
evt_1674036000_2,300.0,300,2023-01-18 10:00:00,USDCHF,2,439.99,-118.72,25.21,1745.64,291.19
evt_1674058500_3,300.0,300,2023-01-18 16:15:00,EURGBP,2,525.26,-76.2,32.53,1614.73,297.63
evt_1674058500_3,300.0,300,2023-01-18 16:15:00,EURUSD,0,0.0,0.0,0.0,1614.73,297.63
evt_1674058500_3,300.0,300,2023-01-18 16:15:00,GBPUSD,1,434.92,-174.86,26.93,1614.73,297.63
evt_1674058500_3,300.0,300,2023-01-18 16:15:00,USDCHF,3,654.55,-284.48,40.54,1614.73,297.63
evt_1674063600_4,300.0,300,2023-01-20 03:15:00,EURGBP,3,787.35,-83.28,35.35,2227.05,219.3
evt_1674063600_4,300.0,300,2023-01-20 03:15:00,EURUSD,1,347.01,-78.4,15.58,2227.05,219.3
evt_1674063600_4,300.0,300,2023-01-20 03:15:00,GBPUSD,1,433.84,-153.23,19.48,2227.05,219.3
evt_1674063600_4,300.0,300,2023-01-20 03:15:00,USDCHF,3,658.86,-140.96,29.58,2227.05,219.3
evt_1674216000_5,300.0,300,2023-01-23 00:00:00,EURGBP,3,788.32,-63.84,35.44,2224.56,222.27
evt_1674216000_5,300.0,300,2023-01-23 00:00:00,EURUSD,1,347.67,-111.52,15.63,2224.56,222.27
evt_1674216000_5,300.0,300,2023-01-23 00:00:00,GBPUSD,2,868.13,-200.27,39.02,2224.56,222.27
evt_1674216000_5,300.0,300,2023-01-23 00:00:00,USDCHF,1,220.44,-29.2,9.91,2224.56,222.27
