event_id,worst_threshold_crossed,thresholds_crossed,min_margin_time,pair,open_positions,used_margin,floating_pnl,used_margin_contribution_pct,portfolio_used_margin,portfolio_margin_level
evt_1673625600_1,300.0,300,2023-01-13 16:00:00,EURGBP,2,532.33,-15.3,30.41,1750.79,292.44
evt_1673625600_1,300.0,300,2023-01-13 16:00:00,EURUSD,1,345.69,-14.56,19.74,1750.79,292.44
evt_1673625600_1,300.0,300,2023-01-13 16:00:00,GBPUSD,1,426.15,-5.67,24.34,1750.79,292.44
evt_1673625600_1,300.0,300,2023-01-13 16:00:00,USDCHF,2,446.62,-79.04,25.51,1750.79,292.44
evt_1674036000_2,300.0,300,2023-01-18 10:00:00,EURGBP,2,527.56,-30.24,30.22,1745.64,290.45
evt_1674036000_2,300.0,300,2023-01-18 10:00:00,EURUSD,1,346.75,16.32,19.86,1745.64,290.45
evt_1674036000_2,300.0,300,2023-01-18 10:00:00,GBPUSD,1,431.34,-103.25,24.71,1745.64,290.45
evt_1674036000_2,300.0,300,2023-01-18 10:00:00,USDCHF,2,439.99,-118.72,25.21,1745.64,290.45
evt_1674057600_3,300.0,300,2023-01-18 16:15:00,EURGBP,2,525.26,-76.2,32.53,1614.73,296.83
evt_1674057600_3,300.0,300,2023-01-18 16:15:00,EURUSD,0,0.0,0.0,0.0,1614.73,296.83
evt_1674057600_3,300.0,300,2023-01-18 16:15:00,GBPUSD,1,434.92,-174.86,26.93,1614.73,296.83
evt_1674057600_3,300.0,300,2023-01-18 16:15:00,USDCHF,3,654.55,-284.48,40.54,1614.73,296.83
evt_1674063600_4,300.0,300,2023-01-20 03:15:00,EURGBP,3,787.35,-83.28,35.35,2227.05,218.74
evt_1674063600_4,300.0,300,2023-01-20 03:15:00,EURUSD,1,347.01,-78.4,15.58,2227.05,218.74
evt_1674063600_4,300.0,300,2023-01-20 03:15:00,GBPUSD,1,433.84,-153.23,19.48,2227.05,218.74
evt_1674063600_4,300.0,300,2023-01-20 03:15:00,USDCHF,3,658.86,-140.96,29.58,2227.05,218.74
evt_1674216000_5,300.0,300,2023-01-23 00:00:00,EURGBP,3,788.32,-63.84,35.44,2224.56,221.48
evt_1674216000_5,300.0,300,2023-01-23 00:00:00,EURUSD,1,347.67,-111.52,15.63,2224.56,221.48
evt_1674216000_5,300.0,300,2023-01-23 00:00:00,GBPUSD,2,868.13,-200.27,39.02,2224.56,221.48
evt_1674216000_5,300.0,300,2023-01-23 00:00:00,USDCHF,1,220.44,-29.2,9.91,2224.56,221.48
evt_1674454200_6,300.0,300,2023-01-23 09:00:00,EURGBP,1,263.4,-11.58,15.47,1702.43,288.93
evt_1674454200_6,300.0,300,2023-01-23 09:00:00,EURUSD,1,349.08,-181.6,20.5,1702.43,288.93
evt_1674454200_6,300.0,300,2023-01-23 09:00:00,GBPUSD,2,869.7,-231.77,51.09,1702.43,288.93
evt_1674454200_6,300.0,300,2023-01-23 09:00:00,USDCHF,1,220.25,-2.32,12.94,1702.43,288.93
evt_1674466200_7,300.0,300,2023-01-23 09:45:00,EURGBP,1,263.69,-17.34,15.49,1702.39,288.36
evt_1674466200_7,300.0,300,2023-01-23 09:45:00,EURUSD,1,349.25,-190.4,20.52,1702.39,288.36
evt_1674466200_7,300.0,300,2023-01-23 09:45:00,GBPUSD,2,869.21,-221.97,51.06,1702.39,288.36
evt_1674466200_7,300.0,300,2023-01-23 09:45:00,USDCHF,1,220.24,-10.88,12.94,1702.39,288.36
evt_1674485400_8,300.0,300,2023-01-23 15:15:00,EURGBP,1,263.84,-20.46,15.54,1698.29,297.94
evt_1674485400_8,300.0,300,2023-01-23 15:15:00,EURUSD,1,347.97,-126.56,20.49,1698.29,297.94
evt_1674485400_8,300.0,300,2023-01-23 15:15:00,GBPUSD,2,865.5,-147.77,50.96,1698.29,297.94
evt_1674485400_8,300.0,300,2023-01-23 15:15:00,USDCHF,1,220.97,1.6,13.01,1698.29,297.94
evt_1674489600_9,300.0,300,2023-01-26 08:30:00,EURGBP,2,528.37,-13.98,22.82,2315.71,209.01
evt_1674489600_9,300.0,300,2023-01-26 08:30:00,EURUSD,2,699.1,-308.64,30.19,2315.71,209.01
evt_1674489600_9,300.0,300,2023-01-26 08:30:00,GBPUSD,2,868.27,-203.21,37.49,2315.71,209.01
evt_1674489600_9,300.0,300,2023-01-26 08:30:00,USDCHF,1,219.97,-14.64,9.5,2315.71,209.01
evt_1674741900_10,300.0,300,2023-01-26 14:05:00,EURGBP,0,0.0,0.0,0.0,1785.19,279.82
evt_1674741900_10,300.0,300,2023-01-26 14:05:00,EURUSD,2,697.38,-222.56,39.06,1785.19,279.82
evt_1674741900_10,300.0,300,2023-01-26 14:05:00,GBPUSD,2,867.28,-183.33,48.58,1785.19,279.82
evt_1674741900_10,300.0,300,2023-01-26 14:05:00,USDCHF,1,220.54,4.4,12.35,1785.19,279.82
evt_1674747000_11,300.0,300,2023-01-26 15:45:00,EURGBP,0,0.0,0.0,0.0,1785.2,279.01
evt_1674747000_11,300.0,300,2023-01-26 15:45:00,EURUSD,2,697.76,-241.76,39.09,1785.2,279.01
evt_1674747000_11,300.0,300,2023-01-26 15:45:00,GBPUSD,2,867.49,-187.53,48.59,1785.2,279.01
evt_1674747000_11,300.0,300,2023-01-26 15:45:00,USDCHF,1,219.95,9.92,12.32,1785.2,279.01
evt_1674748800_12,300.0,300,2023-01-26 16:00:00,EURGBP,1,263.72,4.26,14.41,1829.64,271.34
evt_1674748800_12,300.0,300,2023-01-26 16:00:00,EURUSD,2,697.77,-242.4,38.14,1829.64,271.34
evt_1674748800_12,300.0,300,2023-01-26 16:00:00,GBPUSD,2,868.15,-200.83,47.45,1829.64,271.34
evt_1674748800_12,300.0,300,2023-01-26 16:00:00,USDCHF,0,0.0,0.0,0.0,1829.64,271.34
evt_1674751800_13,300.0,300,2023-01-26 16:50:00,EURGBP,0,0.0,0.0,0.0,1783.62,283.38
evt_1674751800_13,300.0,300,2023-01-26 16:50:00,EURUSD,2,696.77,-192.16,39.06,1783.62,283.38
evt_1674751800_13,300.0,300,2023-01-26 16:50:00,GBPUSD,2,866.26,-162.89,48.57,1783.62,283.38
evt_1674751800_13,300.0,300,2023-01-26 16:50:00,USDCHF,1,220.59,2.88,12.37,1783.62,283.38
